"all";"male";"female";"year.ref";"age.min";"age.max";"year"
4127134;2112519;2014615;2018;5;9;2018
3795661;1944627;1851034;2018;10;14;2018
3678852;1888733;1790119;2018;15;19;2018
4194671;2153737;2040934;2018;20;24;2018
4544698;2301315;2243383;2018;25;29;2018
4448043;2219685;2228358;2018;30;34;2018
4328081;2148457;2179624;2018;35;39;2018
4025390;1996585;2028805;2018;40;44;2018
4541513;2239582;2301931;2018;45;49;2018
4671514;2299522;2371992;2018;50;54;2018
4240050;2090524;2149526;2018;55;59;2018
3637148;1782067;1855081;2018;60;64;2018
3438188;1665214;1772974;2018;65;69;2018
3182572;1522470;1660102;2018;70;74;2018
2210116;1018015;1192101;2018;75;79;2018
1657805;723134;934671;2018;80;84;2018
1603386;579392;1023994;2018;85;NA;2018
3885007;1992500;1892507;2019;0;4;2019
4146546;2122724;2023822;2019;5;9;2019
3908395;2002557;1905838;2019;10;14;2019
3661722;1880569;1781153;2019;15;19;2019
4170514;2144598;2025916;2019;20;24;2019
4527006;2296526;2230480;2019;25;29;2019
4485180;2237370;2247810;2019;30;34;2019
4387779;2173731;2214048;2019;35;39;2019
4008205;1989487;2018718;2019;40;44;2019
4457239;2199183;2258056;2019;45;49;2019
4668822;2297033;2371789;2019;50;54;2019
4351807;2142088;2209719;2019;55;59;2019
3716512;1820911;1895601;2019;60;64;2019
3384532;1638388;1746144;2019;65;69;2019
3286389;1572057;1714332;2019;70;74;2019
2281501;1054186;1227315;2019;75;79;2019
1695137;742486;952651;2019;80;84;2019
1624819;594642;1030177;2019;85;NA;2019
